市场,板块,代码,名称,行业
上证主板,主板,600187,国中水务,环境治理
上证主板,主板,600188,兖矿能源,煤炭开采
上证主板,主板,600189,泉阳泉,饮料乳品
上证主板,主板,600191,华资实业,农产品加工
上证主板,主板,600192,长城电工,电网设备
上证主板,主板,600193,*ST创兴,装修装饰Ⅱ
上证主板,主板,600195,中牧股份,动物保健Ⅱ
上证主板,主板,600196,复星医药,化学制药
上证主板,主板,600197,伊力特,白酒Ⅱ
上证主板,主板,600198,大唐电信,通信设备
上证主板,主板,600199,金种子酒,白酒Ⅱ
上证主板,主板,600201,生物股份,动物保健Ⅱ
上证主板,主板,600202,哈空调,通用设备
上证主板,主板,600203,福日电子,消费电子
上证主板,主板,600206,有研新材,半导体
上证主板,主板,600207,安彩高科,光伏设备
上证主板,主板,600208,衢州发展,房地产开发
上证主板,主板,600210,紫江企业,包装印刷
上证主板,主板,600211,西藏药业,生物制品
上证主板,主板,600212,绿能慧充,其他电源设备Ⅱ
上证主板,主板,600215,派斯林,自动化设备
上证主板,主板,600216,浙江医药,化学制药
上证主板,主板,600217,中再资环,环境治理
上证主板,主板,600218,全柴动力,汽车零部件
上证主板,主板,600219,南山铝业,工业金属
上证主板,主板,600221,海航控股,航空机场
上证主板,主板,600222,太龙药业,中药Ⅱ
上证主板,主板,600223,福瑞达,化妆品
上证主板,主板,600226,亨通股份,电力
上证主板,主板,600227,赤天化,农化制品
上证主板,主板,600228,*ST返利,数字媒体
上证主板,主板,600229,城市传媒,出版
上证主板,主板,600230,沧州大化,化学制品
上证主板,主板,600231,凌钢股份,普钢
上证主板,主板,600232,金鹰股份,专用设备
上证主板,主板,600233,圆通速递,物流
上证主板,主板,600234,科新发展,装修装饰Ⅱ
上证主板,主板,600235,民丰特纸,造纸
上证主板,主板,600236,桂冠电力,电力
上证主板,主板,600237,铜峰电子,元件
上证主板,主板,600238,*ST椰岛,非白酒
上证主板,主板,600239,云南城投,房地产开发
上证主板,主板,600241,时代万恒,电池
上证主板,主板,600243,*ST海华,通用设备
上证主板,主板,600246,万通发展,房地产开发
上证主板,主板,600248,陕建股份,房屋建设Ⅱ
上证主板,主板,600249,两面针,个护用品
上证主板,主板,600250,南京商旅,贸易Ⅱ
上证主板,主板,600251,冠农股份,农产品加工
上证主板,主板,600252,中恒集团,中药Ⅱ
上证主板,主板,600255,鑫科材料,金属新材料
上证主板,主板,600256,广汇能源,炼化及贸易
上证主板,主板,600257,大湖股份,
上证主板,主板,600258,首旅酒店,
上证主板,主板,600259,中稀有色,
上证主板,主板,600261,阳光照明,
上证主板,主板,600262,北方股份,
上证主板,主板,600265,ST景谷,
上证主板,主板,600266,城建发展,
上证主板,主板,600267,海正药业,
上证主板,主板,600268,国电南自,
上证主板,主板,600269,赣粤高速,
上证主板,主板,600271,航天信息,
上证主板,主板,600272,开开实业,
上证主板,主板,600273,嘉化能源,
上证主板,主板,600276,恒瑞医药,
上证主板,主板,600278,东方创业,
上证主板,主板,600279,重庆港,
上证主板,主板,600280,中央商场,
上证主板,主板,600281,华阳新材,
上证主板,主板,600282,南钢股份,
上证主板,主板,600283,钱江水利,
上证主板,主板,600284,浦东建设,
上证主板,主板,600285,羚锐制药,
上证主板,主板,600287,苏豪时尚,
上证主板,主板,600288,大恒科技,
上证主板,主板,600289,ST信通,
上证主板,主板,600292,电投水电,
上证主板,主板,600293,三峡新材,
上证主板,主板,600295,鄂尔多斯,
上证主板,主板,600298,安琪酵母,
上证主板,主板,600299,安迪苏,
上证主板,主板,600300,维维股份,
上证主板,主板,600301,华锡有色,
上证主板,主板,600302,标准股份,
上证主板,主板,600303,曙光股份,
上证主板,主板,600305,恒顺醋业,
上证主板,主板,600307,酒钢宏兴,
上证主板,主板,600308,华泰股份,
上证主板,主板,600309,万华化学,
上证主板,主板,600310,广西能源,
上证主板,主板,600312,平高电气,
上证主板,主板,600313,农发种业,
上证主板,主板,600315,上海家化,
上证主板,主板,600316,洪都航空,
上证主板,主板,600318,新力金融,
上证主板,主板,600319,亚星化学,
上证主板,主板,600320,振华重工,
上证主板,主板,600322,津投城开,
上证主板,主板,600323,瀚蓝环境,
上证主板,主板,600325,华发股份,
上证主板,主板,600326,西藏天路,
上证主板,主板,600327,大东方,
上证主板,主板,600328,中盐化工,
上证主板,主板,600329,达仁堂,
上证主板,主板,600330,天通股份,
上证主板,主板,600331,宏达股份,
上证主板,主板,600332,白云山,
上证主板,主板,600333,长春燃气,
上证主板,主板,600335,国机汽车,
上证主板,主板,600336,澳柯玛,
上证主板,主板,600337,美克家居,
上证主板,主板,600338,西藏珠峰,
上证主板,主板,600339,中油工程,
上证主板,主板,600340,华夏幸福,
上证主板,主板,600343,航天动力,
上证主板,主板,600345,长江通信,
上证主板,主板,600346,恒力石化,
上证主板,主板,600348,华阳股份,
上证主板,主板,600350,山东高速,
上证主板,主板,600351,亚宝药业,
上证主板,主板,600352,浙江龙盛,
上证主板,主板,600353,旭光电子,
上证主板,主板,600354,敦煌种业,
上证主板,主板,600355,*ST精伦,
上证主板,主板,600356,恒丰纸业,
上证主板,主板,600358,ST联合,
上证主板,主板,600359,新农开发,
上证主板,主板,600360,*ST华微,
上证主板,主板,600361,创新新材,
上证主板,主板,600362,江西铜业,
上证主板,主板,600363,联创光电,
上证主板,主板,600365,ST通葡,
上证主板,主板,600366,宁波韵升,
上证主板,主板,600367,红星发展,
上证主板,主板,600368,五洲交通,
上证主板,主板,600369,西南证券,
上证主板,主板,600370,三房巷,
上证主板,主板,600371,万向德农,
上证主板,主板,600372,中航机载,
上证主板,主板,600373,中文传媒,
上证主板,主板,600375,汉马科技,
上证主板,主板,600376,首开股份,
上证主板,主板,600377,宁沪高速,
上证主板,主板,600378,昊华科技,
上证主板,主板,600379,宝光股份,
上证主板,主板,600380,健康元,
上证主板,主板,600381,*ST春天,
上证主板,主板,600382,广东明珠,
上证主板,主板,600383,金地集团,
上证主板,主板,600386,北巴传媒,
上证主板,主板,600388,龙净环保,
上证主板,主板,600389,江山股份,
上证主板,主板,600390,五矿资本,
上证主板,主板,600391,航发科技,
上证主板,主板,600392,盛和资源,
上证主板,主板,600395,盘江股份,
上证主板,主板,600396,华电辽能,
上证主板,主板,600397,江钨装备,
上证主板,主板,600398,海澜之家,
上证主板,主板,600399,抚顺特钢,
上证主板,主板,600400,红豆股份,
上证主板,主板,600403,大有能源,
上证主板,主板,600405,动力源,
上证主板,主板,600406,国电南瑞,
上证主板,主板,600408,安泰集团,
上证主板,主板,600409,三友化工,
上证主板,主板,600410,华胜天成,
上证主板,主板,600415,小商品城,
上证主板,主板,600416,湘电股份,
上证主板,主板,600418,江淮汽车,
上证主板,主板,600419,天润乳业,
上证主板,主板,600420,国药现代,
上证主板,主板,600421,*ST华嵘,
上证主板,主板,600422,昆药集团,
上证主板,主板,600423,柳化股份,
上证主板,主板,600425,青松建化,
上证主板,主板,600426,华鲁恒升,
上证主板,主板,600428,中远海特,
上证主板,主板,600429,三元股份,
上证主板,主板,600433,冠豪高新,
上证主板,主板,600435,北方导航,
上证主板,主板,600436,片仔癀,
上证主板,主板,600438,通威股份,
上证主板,主板,600439,瑞贝卡,
上证主板,主板,600444,国机通用,
上证主板,主板,600446,金证股份,
上证主板,主板,600448,华纺股份,
上证主板,主板,600449,宁夏建材,
上证主板,主板,600452,涪陵电力,
上证主板,主板,600455,博通股份,
上证主板,主板,600456,宝钛股份,
上证主板,主板,600458,时代新材,
上证主板,主板,600459,贵研铂业,
上证主板,主板,600460,士兰微,
上证主板,主板,600461,洪城环境,
上证主板,主板,600463,空港股份,
上证主板,主板,600467,好当家,
上证主板,主板,600468,百利电气,
上证主板,主板,600469,风神股份,
上证主板,主板,600470,六国化工,
上证主板,主板,600475,华光环能,
上证主板,主板,600476,湘邮科技,
上证主板,主板,600477,杭萧钢构,
上证主板,主板,600478,科力远,
上证主板,主板,600479,千金药业,
上证主板,主板,600480,凌云股份,
上证主板,主板,600481,双良节能,
上证主板,主板,600482,中国动力,
上证主板,主板,600483,福能股份,
上证主板,主板,600486,扬农化工,
上证主板,主板,600487,亨通光电,
上证主板,主板,600488,津药药业,
上证主板,主板,600489,中金黄金,
上证主板,主板,600490,鹏欣资源,
上证主板,主板,600491,龙元建设,
上证主板,主板,600493,凤竹纺织,
上证主板,主板,600495,晋西车轴,
上证主板,主板,600496,精工钢构,
上证主板,主板,600497,驰宏锌锗,
上证主板,主板,600498,烽火通信,
上证主板,主板,600499,科达制造,
上证主板,主板,600500,中化国际,
上证主板,主板,600501,航天晨光,
